date,currency,rate
1999-03-12,NZD,2.0522
1999-03-12,PLN,4.2995
1999-03-12,SEK,8.8615
1999-03-12,SGD,1.8949
1999-03-12,USD,1.0932
1999-03-12,ZAR,6.7314
1999-03-15,AUD,1.7325
1999-03-15,CAD,1.6712
1999-03-15,CHF,1.601
1999-03-15,CZK,37.85
1999-03-15,DKK,7.4325
1999-03-15,GBP,0.6739
1999-03-15,HKD,8.4867
1999-03-15,HUF,253.46
1999-03-15,JPY,128.85
1999-03-15,KRW,1347.46
1999-03-15,NOK,8.5275
1999-03-15,NZD,2.0483
1999-03-15,PLN,4.3103
1999-03-15,SEK,8.8785
1999-03-15,SGD,1.8767
1999-03-15,USD,1.0949
1999-03-15,ZAR,6.8106
1999-03-16,AUD,1.7365
1999-03-16,CAD,1.6658
1999-03-16,CHF,1.5995
1999-03-16,CZK,38.05
1999-03-16,DKK,7.4322
1999-03-16,GBP,0.6703
1999-03-16,HKD,8.4414
1999-03-16,HUF,253.66
1999-03-16,JPY,128.65
1999-03-16,KRW,1335.97
1999-03-16,NOK,8.5515
1999-03-16,NZD,2.0613
1999-03-16,PLN,4.3107
1999-03-16,SEK,8.969
1999-03-16,SGD,1.8773
1999-03-16,USD,1.0901
1999-03-16,ZAR,6.8185
1999-03-17,AUD,1.7502
1999-03-17,CAD,1.6685
1999-03-17,CHF,1.5987
1999-03-17,CZK,37.96
1999-03-17,DKK,7.4317
